id,symbol,indicator,signal,date
137,GOOGL,ma-cross,Buy,2015-05-17
138,GOOGL,dmi,Sell,2015-05-17
139,GOOGL,mfi,Hold,2015-05-17
140,GOOGL,trendline,Sell,2015-05-17
141,GOOGL,rsi,Hold,2015-05-24
142,GOOGL,macd,Buy,2015-05-24
143,GOOGL,bollinger,Hold,2015-05-24
144,GOOGL,ma-cross,Buy,2015-05-24
145,GOOGL,dmi,Buy,2015-05-24
146,GOOGL,mfi,Hold,2015-05-24
147,GOOGL,trendline,Buy,2015-05-24
148,GOOGL,rsi,Hold,2015-05-31
149,GOOGL,macd,Buy,2015-05-31
150,GOOGL,bollinger,Hold,2015-05-31
151,GOOGL,ma-cross,Buy,2015-05-31
152,GOOGL,dmi,Sell,2015-05-31
153,GOOGL,mfi,Hold,2015-05-31
154,GOOGL,trendline,Sell,2015-05-31
155,GOOGL,rsi,Hold,2015-06-07
156,GOOGL,macd,Buy,2015-06-07
157,GOOGL,bollinger,Hold,2015-06-07
158,GOOGL,ma-cross,Buy,2015-06-07
159,GOOGL,dmi,Sell,2015-06-07
160,GOOGL,mfi,Hold,2015-06-07
161,GOOGL,trendline,Buy,2015-06-07
162,GOOGL,rsi,Hold,2015-06-14
163,GOOGL,macd,Sell,2015-06-14
164,GOOGL,bollinger,Hold,2015-06-14
165,GOOGL,ma-cross,Buy,2015-06-14
166,GOOGL,dmi,Sell,2015-06-14
167,GOOGL,mfi,Hold,2015-06-14
168,GOOGL,trendline,Sell,2015-06-14
169,GOOGL,rsi,Hold,2015-06-21
170,GOOGL,macd,Buy,2015-06-21
171,GOOGL,bollinger,Hold,2015-06-21
172,GOOGL,ma-cross,Buy,2015-06-21
173,GOOGL,dmi,Buy,2015-06-21
174,GOOGL,mfi,Hold,2015-06-21
175,GOOGL,trendline,Buy,2015-06-21
176,GOOGL,rsi,Hold,2015-06-28
177,GOOGL,macd,Buy,2015-06-28
178,GOOGL,bollinger,Hold,2015-06-28
179,GOOGL,ma-cross,Buy,2015-06-28
180,GOOGL,dmi,Buy,2015-06-28
181,GOOGL,mfi,Hold,2015-06-28
182,GOOGL,trendline,Buy,2015-06-28
183,GOOGL,rsi,Hold,2015-07-05
184,GOOGL,macd,Sell,2015-07-05
